,日期,标题,阅读量,链接
43,04.10(周六),4月17日! 理大云讲堂第三课 建环学院 名师授课 招生计划,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900566&idx=1&sn=eb53c9e138fcfbef2a75d93a2ef4e1db&chksm=8f5cd6a3b82b5fb5d003331c7b1846dc6c5ed6e8b353337761b9a51730234768d0a3284453d5#rd
44,04.10(周六),4月17日! 理大云讲堂第三课 建环学院 名师授课 招生计划,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900565&idx=1&sn=71ad668ee75505abd2c30c7c67ad8a3f&chksm=8f5cd6a0b82b5fb62b475aa96b92bb376de95989617f3b8440bb796fec26b83a10dca094c4fd#rd
45,04.08(周四),4月10日理大云讲堂! 商学院名师授课 招生重点 附直播链接,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900564&idx=1&sn=92cfed282745af9b81a1d7b8b8a912ea&chksm=8f5cd6a1b82b5fb7d9afdd311435de5875041d4f050d7d1e5966030b993689aa9bf68cbe3da0#rd
46,04.08(周四),优秀！2020年度理大“卓越学生奖”名单揭晓！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900563&idx=1&sn=05fc1246ccdb0367ef844fef9c12e51b&chksm=8f5cd6a6b82b5fb07b4ce7450161bccdc340c0d43a4c52170e0fca005bfef4b5e87688ff16d9#rd
47,04.08(周四),刘嘉伟：奋勇创新的酒店业创业者,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900563&idx=2&sn=9df408569dea7ca2a8f199a562bd589d&chksm=8f5cd6a6b82b5fb03c7abc73b438473a75698ba57c14e9dc3dc7ab070f8c02614d717eef5598#rd
48,04.07(周三),理大宿舍-这可能是你最不想错过的大学宿舍,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900533&idx=1&sn=5fe7c7547b0d4c3a8147de4762fe10eb&chksm=8f5cd540b82b5c567cb6e1310c384cbc8154c9e58cc5b93e1ecad24721c0b1523867ee190eb4#rd
49,04.03(周六),4月10日商学院约定你! 名师授课 及招生计划重点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900475&idx=1&sn=ac260415bf874528defad98d4ff9e2c5&chksm=8f5cd50eb82b5c18b634784ce7d6f95f79bf0b17320c18e907e53c5e7effb71e982707430048#rd
50,04.03(周六),4月10日 商学院约定你! 名师授课 及招生计划重点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900474&idx=1&sn=5e453523f7b421866730c46a0a80edc6&chksm=8f5cd50fb82b5c19ddfdd1b3194f4528b8fbd1bd472bc3e1baef6fdc0bb49f5ef45fed12ed0b#rd
51,04.01(周四),就在明天!  理大云讲堂开课 直播链接来了,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900463&idx=1&sn=730f3806232eeb9ecfb0b1f76a4921d3&chksm=8f5cd51ab82b5c0c311c4a99d28b02e1e2971f2294514b525bee02c29d6b6bce9a6a3517a23f#rd
52,03.31(周三),学霸! 揭晓了 理大应用科学及纺织学院 卓越学生,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900441&idx=1&sn=7070580619e2a09c7d133121ff7cc6ae&chksm=8f5cd52cb82b5c3a48fd2c919fad6f21c738c57dec1c7fdb99bccedd8b12695318ae1c3342b8#rd
53,03.29(周一),周六直播!  理大云讲堂首课  分析世纪疫症 速报名!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900366&idx=1&sn=331e32925868bb8c0108a41e0efe32a4&chksm=8f5cd5fbb82b5ceda15c8a448e68c27620cdb220223482a0c1b6e4386a26d3968c8be06cf5ad#rd
54,03.26(周五),喜报！理大在日内瓦国际发明展斩获六个奖项！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900338&idx=1&sn=ed0efe1e758689916a61e49740430113&chksm=8f5cd587b82b5c91ebecee998563977195a0152f9ad361cf5b7f5425a8a3e787bb3ea61399e8#rd
55,03.25(周四),就在今天!  酒店及旅游业管理学院 招生说明会,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900291&idx=1&sn=4eba022533ee5935a315bf4bcf1ff1d5&chksm=8f5cd5b6b82b5ca06b22bb0c867b9fc36f4b1d452aba1200529b7f39b996e2db815e994f811c#rd
56,03.24(周三),酒店和旅游业卷土重来的机遇 您准备好迎接吗？,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900265&idx=1&sn=7d275dac32439cb220f180967db1e666&chksm=8f5cd45cb82b5d4a422e09032eb5a25eaf5fa42dd36ca352bd1b9aa9c5545d0ff6dd27081bfd#rd
57,03.23(周二),期待! 「理大云讲堂」云集星级教授   招生最新资讯,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900257&idx=1&sn=73e2a3be90b80510cc7dcb8af3253706&chksm=8f5cd454b82b5d42652d9b9656d1d87b5feb9b521e11fe4896b2621d9b24f5907b9a8ca73e21#rd
58,03.19(周五),理大的杜鹃开好了，等你来！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900185&idx=1&sn=5e401e1534f9a0bcc04d1940c970687d&chksm=8f5cd42cb82b5d3a84df6b4e6e25dc955aafc1faffb8ce8021e99442815fd57087edf73a9507#rd
59,03.19(周五),这门课，爆款，选它！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900185&idx=2&sn=b30f6ff49fbfd97e8fc6dfdc960e161e&chksm=8f5cd42cb82b5d3a7d3095715dd843981ac11be0f9d1a71dea650441705c764ac182f06d5fd0#rd
60,03.17(周三),3.18约定你! 来了解世界二十强 设计学院课程特色,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900183&idx=1&sn=6e2f535e9976913a291d782aab52327a&chksm=8f5cd422b82b5d345bbd0e8deb10bbcd26e770a6eea6898f5d47bf20a4eafaafec0f605986d9#rd
61,03.16(周二),艺术家后人 在理大城堡 好棒又感动的梦想之旅,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900142&idx=1&sn=ad990a15cffbb548943b5cb57cd5bafb&chksm=8f5cd4dbb82b5dcdefc553a94ffe663da09e082f0d35720ca4d26d83cc2be3299470cf151b24#rd
62,03.12(周五),来收藏! 超实用申请攻略!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900133&idx=1&sn=f1c2bf7db87a7d98800e68bcd06cc627&chksm=8f5cd4d0b82b5dc6f479ca6d455fca18bcfd44bc08719f9ddbd4d509256593a47865fa16c3e3#rd
63,03.10(周三),优秀! 医疗科学专业 来吸收学长学姐的学习经验吧!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900075&idx=1&sn=b3bbe23bdca89326eebc0dee19c251cc&chksm=8f5cd49eb82b5d88f7b2c1ad156dc228308c0cd2e770fe2d5b5b108d762210ff67dc7ef7fac1#rd
64,03.08(周一),3月11日! 招生说明会 医疗及社会科学院 专业课程获认可,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900043&idx=1&sn=899851befaa4e41068bc058b58dab0a9&chksm=8f5cd4beb82b5da8d906e6febd9025938ab37210c922477ab30bf3b684f67b9e56ad637eed00#rd
65,03.03(周三),出路理想! 我从事法律 我从事金融 我们是人文学院的毕业生!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900015&idx=1&sn=8d8ba21313ca245cb329697b77540de0&chksm=8f5cd35ab82b5a4cdf9d33b01431da95455e0c3de122e9df7a5e238a8427450e8e5e120ccb40#rd
66,03.02(周二),本周四!  来参加本月首场招生说明会!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900007&idx=1&sn=490b05482f58b68ffc3edc7dbc854e68&chksm=8f5cd352b82b5a441ba168ddf3b084dc42530e515809db05944fb5abfcffc8803eef75b33f39#rd
67,02.27(周六),手把手教你  本科课程网上申请系统示范,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899981&idx=1&sn=e213557bcfa4a284577dbd216339578e&chksm=8f5cd378b82b5a6e26ff40ab9e3ff64102d52b29c262cd2ebd80095367f022cdb0a231ae45e1#rd
68,02.27(周六),高考倒计时100天! 与你同行 乘风破浪 加油吧少年！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899980&idx=1&sn=71f9209bf7ba813d2dfbd56ed63c98b7&chksm=8f5cd379b82b5a6fa4c8e1136838d76028963449213783ba95ff8bae958501d4f7f1bcfa7728#rd
69,02.26(周五),又一国际奖项花落理大！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899975&idx=1&sn=c6ce90bb9353cf8f72d7320f36876e2f&chksm=8f5cd372b82b5a6469f4b8b8f6b46adf25d2c81420d9ff7f227023bdf4246a1102a067b66bc0#rd
70,02.23(周二),国际生Michelle  最难忘到初创公司实习,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899971&idx=1&sn=75e5dbc452e30ad21bcbab49c86aee45&chksm=8f5cd376b82b5a601cf91ff70713f9053f858a58ecfa3f6bc836883df46759d06f7684b58cfe#rd
71,02.19(周五),把握机会!  八大学院招生说明会 3月开始,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899970&idx=1&sn=0a050f385bb355be696d2e4d0728b811&chksm=8f5cd377b82b5a61f563518df15e24ce355ff9248e828bcaf9c920e42d1a6b68c1cd0c386cc8#rd
72,02.11(周四),2021新年快乐  HAPPY ”牛“ YEAR！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899915&idx=1&sn=4ee5d23c843fccd94f2871b739463284&chksm=8f5cd33eb82b5a287f4e4985ea349880079ef25dd9aed3479c39893dec5ada9ebcd448769cc3#rd
73,02.09(周二),用数学分析爱情电影? 来自广东的嘉贤 难忘的学习经验,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899893&idx=1&sn=a28b68bbeaef87de1ace4d7f1cd5d26d&chksm=8f5cd3c0b82b5ad60f1738223fe2b4898e603b289c58c877ceb5615666ace2748783cfb965d0#rd
74,02.08(周一),“理大红”表情包上线！拜年不如来斗图~,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899892&idx=1&sn=ce028cd8262104a6d9f3cbf376684e09&chksm=8f5cd3c1b82b5ad7193215276f050cfc7c36b51dab059c57bea0ef932e68264355a0a377d488#rd
75,02.05(周五),难得一看! 走进理大方程式车队的秘密空间…,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899890&idx=1&sn=aa50c9fc3bb17c77b7efe2bf4e2cd156&chksm=8f5cd3c7b82b5ad13b1f381bb18c68b1a6e8f3d64e118435b968f97694d6459fff4271d89c81#rd
76,02.03(周三),专访 | 滕锦光校长：能参与国家航天项目非常有意义,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899888&idx=1&sn=c0b0731e39c4e559fe4c3a419a142ecc&chksm=8f5cd3c5b82b5ad30e90a3ae9104c0dcac433733c88748d87954e6a5d494bcae4e15dbf1ac37#rd
77,02.02(周二),"快来关注, 实用面试贴士!",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899866&idx=1&sn=ba82887af3e0f84e7c9b2e503121a7fe&chksm=8f5cd3efb82b5af9c227ddd16a3e4d895ca417acd4f5d14ea3121a6ca1e1e6fb7ccdbf8c3441#rd
78,01.28(周四),【线上讲座】中文及双语学系授课式硕士课程  助您于事业大放异彩！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899828&idx=1&sn=6bc5b5f3da9b306ba0e11af8b4fc03fa&chksm=8f5cd381b82b5a9780a17b918767a073c9731a81b2aae274bb621abe3ff7b5769dde51e59e44#rd
79,01.28(周四),不在实验室里也能做实验？亚洲首个远距离“遥控”实验室落地理大！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899828&idx=2&sn=9e0dc002fc61acdfb5355e136f065be3&chksm=8f5cd381b82b5a97d0e82478921e68b9896480bc5b51803d1f963ca4cb68d73c0ea5d13d3761#rd
80,01.27(周三),速看! 想报读工程学院课程? 来看看两位优秀同学的分享!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899800&idx=1&sn=9f6ec0a63d9f74460275dbf504c0938d&chksm=8f5cd3adb82b5abb2f18ad4fe1a47bac96817f6599a46b3729919d7f171d4e6d3311a80854d3#rd
